Wall time,Step,Value
1772756678.6525862,356352,939.4745483398438
1772756699.0915804,358400,954.7261352539062
1772756719.143908,360448,949.2304077148438
1772756739.2207372,362496,951.957275390625
1772756759.4294362,364544,950.1346435546875
1772756779.5545735,366592,957.3289794921875
1772756799.8230019,368640,956.5240478515625
1772756819.8435836,370688,955.2520751953125
1772756840.1790066,372736,953.331787109375
1772756860.0977943,374784,956.6061401367188
1772756880.3550603,376832,950.5017700195312
1772756900.4038932,378880,943.1478271484375
1772756920.8054824,380928,921.971923828125
1772756940.7787464,382976,901.455810546875
1772756961.1143355,385024,896.2045288085938
1772756981.2548614,387072,907.5399169921875
1772757001.6431255,389120,917.2280883789062
1772757021.837846,391168,933.5843505859375
1772757042.212227,393216,939.0670166015625
1772757062.4183128,395264,947.6536865234375
1772757082.8615665,397312,941.467529296875
1772757104.6717238,399360,916.9512329101562
1772757128.0286453,401408,919.3551635742188
1772757148.8275194,403456,929.3764038085938
1772757169.7459476,405504,918.0491943359375
1772757194.9738166,407552,922.0997924804688
1772757215.7550478,409600,939.5908203125
1772757236.53014,411648,939.3121948242188
1772757256.9475124,413696,944.0547485351562
1772757277.811156,415744,945.9434204101562
1772757298.130244,417792,950.4346313476562
1772757318.7877386,419840,956.6084594726562
1772757339.1181097,421888,952.6354370117188
1772757360.542602,423936,949.08154296875
1772757381.0261145,425984,946.475830078125
1772757401.729781,428032,935.5712890625
1772757422.1178458,430080,927.0579833984375
1772757442.7143855,432128,944.1488037109375
1772757463.2108421,434176,948.596923828125
1772757483.9600554,436224,942.2388916015625
1772757504.4275453,438272,956.0407104492188
1772757525.0059583,440320,967.1105346679688
1772757545.6372108,442368,965.3463745117188
1772757566.3207595,444416,962.7429809570312
1772757587.16246,446464,972.2821044921875
1772757607.6255348,448512,962.33203125
1772757628.409795,450560,949.631103515625
1772757649.9982808,452608,956.6434326171875
1772757670.9353237,454656,950.7271728515625
1772757691.459957,456704,945.8900756835938
1772757712.1919909,458752,954.6097412109375
1772757732.6646845,460800,964.9039916992188
1772757753.4216824,462848,959.5672607421875
1772757773.7639108,464896,963.0692138671875
1772757794.539185,466944,959.8901977539062
1772757814.9531884,468992,958.2565307617188
1772757835.6506023,471040,953.6172485351562
1772757856.1887958,473088,956.5736083984375
1772757877.0073276,475136,959.7957153320312
1772757897.5141273,477184,954.0451049804688
1772757918.2332742,479232,949.7086791992188
1772757938.8333938,481280,943.4309692382812
1772757959.4288802,483328,949.2566528320312
1772757980.249518,485376,954.4993286132812
1772758000.7404501,487424,957.2625122070312
1772758021.6535892,489472,958.987060546875
1772758042.5842965,491520,956.3238525390625
1772758063.5437493,493568,958.6743774414062
1772758084.2045515,495616,966.9426879882812
1772758105.227188,497664,954.3888549804688
1772758125.780942,499712,963.0946655273438
1772758146.7854872,501760,979.790771484375
